OBJECTID,Name,Area_Code,Work_ID,zone_code,Gov,Address,Shape_Leng,حالة الحصر,المباني المنجزة,إجمالي المباني,عدد الوحدات,نسبة الإنجاز %,عدد الفرق,عدد المهندسين,آخر تحديث بواسطة,Shape_Length,Shape_Area
203,الوسطى-النصيرات-مربع أرض أبو شمالة ومركز رعاية النصيرات,MNU0002,INDAS_M003,FMNU0002_E013,الوسطى, ,3708.89224165,قيد الحصر,,,632,,,,فاطمة جبر,3708.892241652065,421287.2132163385
204,الوسطى-النصيرات-مربع أراضي (أبو غولة-أبو مهادي-اللوح-أبو زكري),MNU0002,INDAS_M002,FMNU0002_E014,الوسطى, ,4482.08367559,مناطق حصر جديدة,0.0,419.0,620,,,,,4482.083675589736,887358.4598621905
205,الوسطى-النصيرات-المنطقة الواقعة من أرض المصنع الى أبراج عين جالوت,MNU0002,INDAS_M009,FMNU0002_E015,الوسطى, ,3291.15933432,مناطق حصر جديدة,0.0,347.0,911,,,,,3291.159334322562,314420.5563699266
206,الوسطى-النصيرات-المنطقة الواقعة من أرض المصنع الى أبراج عين جالوت,MNU0002,INDAS_M009,FMNU0002_E016,الوسطى, ,2642.38912782,مناطق حصر جديدة,0.0,220.0,252,,,,,2642.3891278187666,357235.223601048
207, H الوسطى-النصيرات-منطقة بيارة أبو سليم الشرقية وبلوك,MNU0002,INDAS_M008,FMNU0002_E017,الوسطى, ,1825.21311388,مناطق حصر جديدة,0.0,216.0,446,,,,,1825.2131138797477,194954.90641384354
208, H الوسطى-النصيرات-منطقة بيارة أبو سليم الشرقية وبلوك,MNU0002,INDAS_M008,FMNU0002_E018,الوسطى, ,2634.95916143,مناطق حصر جديدة,0.0,372.0,876,,,,,2634.9591614283518,191063.4010014082
209,الوسطى-النصيرات-مربع أرض أبو مراحيل ومخيم 1 ومربع مسجد الفرج,MNU0002,INDAS_M007,FMNU0002_E019,الوسطى, ,1582.56818825,مناطق حصر جديدة,0.0,205.0,523,,,,,1582.568188248595,109531.48147889682
210,الوسطى-النصيرات-مربع أرض أبو مراحيل ومخيم 1 ومربع مسجد الفرج,MNU0002,INDAS_M007,FMNU0002_E020,الوسطى, ,1620.91677781,مناطق حصر جديدة,0.0,112.0,201,,,,,1620.9167778079236,123880.798805261
211,الوسطى-النصيرات-مربع أرض أبو مراحيل ومخيم 1 ومربع مسجد الفرج,MNU0002,INDAS_M007,FMNU0002_E021,الوسطى, ,1235.93780775,مناطق حصر جديدة,0.0,187.0,459,,,,,1235.9378077478589,78027.68313718963
212,الوسطى-النصيرات-مربع أرض الدعوة و المحكمة الشرعية,MNU0002,INDAS_M004,FMNU0002_E022,الوسطى, ,2083.93044167,مناطق حصر جديدة,0.0,336.0,1055,,,,,2083.9304416723485,190970.87380688003
213,الوسطى-النصيرات-مربع أرض الدعوة و المحكمة الشرعية,MNU0002,INDAS_M004,FMNU0002_E023,الوسطى, ,2142.5523886,قيد الحصر,0.0,358.0,807,,1.0,2.0,فاطمة جبر,2142.5523885977254,141649.4148911495
214,الوسطى-النصيرات-مربع أرض الدعوة و المحكمة الشرعية,MNU0002,INDAS_M004,FMNU0002_E024,الوسطى, ,3795.85772711,قيد الحصر,,,480,,1.0,2.0,فاطمة جبر,3795.857727113826,734932.038217297
215,الوسطى-النصيرات-مربع أراضي (مطر والحرثاني وأبو عريبان),MNU0002,INDAS_M006,FMNU0002_E025,الوسطى, ,1311.34989367,مناطق حصر جديدة,0.0,231.0,806,,,,,1311.349893668728,106348.70648030365
216,الوسطى--النصيرات-أرض المفتي,MNU0002,INDAS_M001,FMNU0002_E004,الوسطى,منطقة مربع المفتي والمخيم الجديد وارض ابو مهادي,1734.99831509,تم الانتهاء,272.0,273.0,428,100.0,,,فاطمة جبر,1734.998315092461,137427.37659012523
